epoch,lr-AdamW/encoder,lr-AdamW/physical_filters,lr-AdamW/temperature,model/trainable_parameters,step,train/loss_branch,train/loss_branch_contour,train/loss_branch_edge,train/loss_branch_stable,train/loss_epoch,train/loss_orientation,train/loss_pp_fused,train/loss_step,train/peak_allocated_gib,train/peak_reserved_gib,train/samples_per_second,train/temperature,val/all_entropy,val/all_hard_negative_similarity,val/all_margin,val/all_normalized_entropy,val/all_positive_similarity,val/all_r0,val/all_r1,val/branch/contour/all_entropy,val/branch/contour/all_hard_negative_similarity,val/branch/contour/all_margin,val/branch/contour/all_normalized_entropy,val/branch/contour/all_positive_similarity,val/branch/contour/all_r0,val/branch/contour/all_r1,val/branch/contour/pitch_entropy,val/branch/contour/pitch_hard_negative_similarity,val/branch/contour/pitch_margin,val/branch/contour/pitch_normalized_entropy,val/branch/contour/pitch_positive_similarity,val/branch/contour/pitch_r0,val/branch/contour/pitch_r1,val/branch/contour/roll_entropy,val/branch/contour/roll_hard_negative_similarity,val/branch/contour/roll_margin,val/branch/contour/roll_normalized_entropy,val/branch/contour/roll_positive_similarity,val/branch/contour/roll_r0,val/branch/contour/roll_r1,val/branch/contour/scale_entropy,val/branch/contour/scale_hard_negative_similarity,val/branch/contour/scale_margin,val/branch/contour/scale_normalized_entropy,val/branch/contour/scale_positive_similarity,val/branch/contour/scale_r0,val/branch/contour/scale_r1,val/branch/contour/translation_entropy,val/branch/contour/translation_hard_negative_similarity,val/branch/contour/translation_margin,val/branch/contour/translation_normalized_entropy,val/branch/contour/translation_positive_similarity,val/branch/contour/translation_r0,val/branch/contour/translation_r1,val/branch/contour/yaw_entropy,val/branch/contour/yaw_hard_negative_similarity,val/branch/contour/yaw_margin,val/branch/contour/yaw_normalized_entropy,val/branch/contour/yaw_positive_similarity,val/branch/contour/yaw_r0,val/branch/contour/yaw_r1,val/branch/edge/all_entropy,val/branch/edge/all_hard_negative_similarity,val/branch/edge/all_margin,val/branch/edge/all_normalized_entropy,val/branch/edge/all_positive_similarity,val/branch/edge/all_r0,val/branch/edge/all_r1,val/branch/edge/pitch_entropy,val/branch/edge/pitch_hard_negative_similarity,val/branch/edge/pitch_margin,val/branch/edge/pitch_normalized_entropy,val/branch/edge/pitch_positive_similarity,val/branch/edge/pitch_r0,val/branch/edge/pitch_r1,val/branch/edge/roll_entropy,val/branch/edge/roll_hard_negative_similarity,val/branch/edge/roll_margin,val/branch/edge/roll_normalized_entropy,val/branch/edge/roll_positive_similarity,val/branch/edge/roll_r0,val/branch/edge/roll_r1,val/branch/edge/scale_entropy,val/branch/edge/scale_hard_negative_similarity,val/branch/edge/scale_margin,val/branch/edge/scale_normalized_entropy,val/branch/edge/scale_positive_similarity,val/branch/edge/scale_r0,val/branch/edge/scale_r1,val/branch/edge/translation_entropy,val/branch/edge/translation_hard_negative_similarity,val/branch/edge/translation_margin,val/branch/edge/translation_normalized_entropy,val/branch/edge/translation_positive_similarity,val/branch/edge/translation_r0,val/branch/edge/translation_r1,val/branch/edge/yaw_entropy,val/branch/edge/yaw_hard_negative_similarity,val/branch/edge/yaw_margin,val/branch/edge/yaw_normalized_entropy,val/branch/edge/yaw_positive_similarity,val/branch/edge/yaw_r0,val/branch/edge/yaw_r1,val/branch/stable/all_entropy,val/branch/stable/all_hard_negative_similarity,val/branch/stable/all_margin,val/branch/stable/all_normalized_entropy,val/branch/stable/all_positive_similarity,val/branch/stable/all_r0,val/branch/stable/all_r1,val/branch/stable/pitch_entropy,val/branch/stable/pitch_hard_negative_similarity,val/branch/stable/pitch_margin,val/branch/stable/pitch_normalized_entropy,val/branch/stable/pitch_positive_similarity,val/branch/stable/pitch_r0,val/branch/stable/pitch_r1,val/branch/stable/roll_entropy,val/branch/stable/roll_hard_negative_similarity,val/branch/stable/roll_margin,val/branch/stable/roll_normalized_entropy,val/branch/stable/roll_positive_similarity,val/branch/stable/roll_r0,val/branch/stable/roll_r1,val/branch/stable/scale_entropy,val/branch/stable/scale_hard_negative_similarity,val/branch/stable/scale_margin,val/branch/stable/scale_normalized_entropy,val/branch/stable/scale_positive_similarity,val/branch/stable/scale_r0,val/branch/stable/scale_r1,val/branch/stable/translation_entropy,val/branch/stable/translation_hard_negative_similarity,val/branch/stable/translation_margin,val/branch/stable/translation_normalized_entropy,val/branch/stable/translation_positive_similarity,val/branch/stable/translation_r0,val/branch/stable/translation_r1,val/branch/stable/yaw_entropy,val/branch/stable/yaw_hard_negative_similarity,val/branch/stable/yaw_margin,val/branch/stable/yaw_normalized_entropy,val/branch/stable/yaw_positive_similarity,val/branch/stable/yaw_r0,val/branch/stable/yaw_r1,val/confidence_low,val/confidence_mean,val/confidence_q25,val/confidence_q50,val/confidence_q75,val/expert_weights_0_mean,val/expert_weights_0_std,val/expert_weights_1_mean,val/expert_weights_1_std,val/expert_weights_2_mean,val/expert_weights_2_std,val/expert_weights_entropy,val/loss_branch,val/loss_branch_contour,val/loss_branch_edge,val/loss_branch_stable,val/loss_fused,val/loss_orientation,val/loss_total,val/pitch_entropy,val/pitch_hard_negative_similarity,val/pitch_margin,val/pitch_normalized_entropy,val/pitch_positive_similarity,val/pitch_r0,val/pitch_r1,val/roll_entropy,val/roll_hard_negative_similarity,val/roll_margin,val/roll_normalized_entropy,val/roll_positive_similarity,val/roll_r0,val/roll_r1,val/scale_entropy,val/scale_hard_negative_similarity,val/scale_margin,val/scale_normalized_entropy,val/scale_positive_similarity,val/scale_r0,val/scale_r1,val/scale_weights_0_mean,val/scale_weights_0_std,val/scale_weights_1_mean,val/scale_weights_1_std,val/scale_weights_2_mean,val/scale_weights_2_std,val/scale_weights_entropy,val/translation_entropy,val/translation_hard_negative_similarity,val/translation_margin,val/translation_normalized_entropy,val/translation_positive_similarity,val/translation_r0,val/translation_r1,val/yaw_entropy,val/yaw_hard_negative_similarity,val/yaw_margin,val/yaw_normalized_entropy,val/yaw_positive_similarity,val/yaw_r0,val/yaw_r1
,0.0001,1e-05,0.0001,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,49,,,,,,,,11.271921157836914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,68,,,,,,,,,,,,,5.516846656799316,0.8985084891319275,-0.08011359721422195,0.6632605791091919,0.8183939456939697,0.3979604244232178,0.5092408061027527,6.080489158630371,0.9116582870483398,-0.06322561204433441,0.7310243248939514,0.8484323024749756,0.4087659418582916,0.5194236040115356,6.095904350280762,0.9114691019058228,-0.07408986985683441,0.7328775525093079,0.837378740310669,0.36484193801879883,0.47576844692230225,6.0949554443359375,0.9119715690612793,-0.06658882647752762,0.7327635288238525,0.8453822135925293,0.38910776376724243,0.4922854006290436,6.065639972686768,0.9116055965423584,-0.054574139416217804,0.7292391061782837,0.8570313453674316,0.4458114206790924,0.5605424642562866,6.0642194747924805,0.9118180871009827,-0.05365419015288353,0.7290682792663574,0.8581637740135193,0.4478414058685303,0.5572030544281006,6.083127021789551,0.9113836884498596,-0.0685371458530426,0.7313414812088013,0.842846155166626,0.39130735397338867,0.5069683194160461,6.7653021812438965,0.931351363658905,-0.05774123966693878,0.8133556246757507,0.8736099600791931,0.38770899176597595,0.4988585412502289,6.7711992263793945,0.9311400055885315,-0.06680377572774887,0.8140645623207092,0.8643358945846558,0.34158700704574585,0.4531368017196655,6.7758097648620605,0.9317773580551147,-0.06139671429991722,0.8146189451217651,0.8703802824020386,0.36512917280197144,0.4666193127632141,6.7575273513793945,0.9313339591026306,-0.05013509839773178,0.8124209642410278,0.8811988830566406,0.4276103377342224,0.5441279411315918,6.757670879364014,0.9314011335372925,-0.049954384565353394,0.8124381899833679,0.8814465999603271,0.42773550748825073,0.5370476245880127,6.764663219451904,0.9310595989227295,-0.06143772974610329,0.8132787942886353,0.869621753692627,0.37154391407966614,0.489166796207428,7.7230448722839355,0.9772369861602783,-0.022407107055187225,0.9284998774528503,0.9548298716545105,0.3854450583457947,0.5633598566055298,7.7211127281188965,0.9770410060882568,-0.026158086955547333,0.9282675981521606,0.9508829116821289,0.33884942531585693,0.5210177898406982,7.7296295166015625,0.9772921800613403,-0.02346823178231716,0.9292914867401123,0.9538239240646362,0.36654186248779297,0.5333094000816345,7.723501205444336,0.977308988571167,-0.01960087940096855,0.9285547733306885,0.9577081203460693,0.422747403383255,0.6060041189193726,7.7231125831604,0.9774622917175293,-0.01901170052587986,0.9285080432891846,0.9584505558013916,0.42762207984924316,0.5978933572769165,7.717181205749512,0.977046012878418,-0.02425691857933998,0.9277949333190918,0.9527890682220459,0.3661269545555115,0.5547456741333008,7.324218813664629e-07,0.9074532985687256,0.870070219039917,0.9235944151878357,0.9604977369308472,0.08692467212677002,0.009640314616262913,0.7812579870223999,0.0175570547580719,0.13181734085083008,0.01329965889453888,0.6105467677116394,12.003143310546875,10.81441593170166,11.806646347045898,13.388365745544434,8.234970092773438,0.06544451415538788,9.441828727722168,5.544074058532715,0.898326575756073,-0.09329736232757568,0.6665340662002563,0.8050281405448914,0.3540080785751343,0.46535804867744446,5.536131858825684,0.8989754915237427,-0.08434812724590302,0.6655791997909546,0.8146265745162964,0.3788865804672241,0.48237717151641846,5.4946160316467285,0.898425281047821,-0.06945785880088806,0.6605879068374634,0.8289666175842285,0.43475446105003357,0.5504294633865356,0.04451361671090126,0.009242447093129158,0.40796950459480286,0.0933653712272644,0.5475168824195862,0.09131019562482834,0.7400820255279541,5.485013961791992,0.8985649347305298,-0.06849810481071472,0.6594334840774536,0.830065906047821,0.4371581971645355,0.5472333431243896,5.52752685546875,0.8982051610946655,-0.08656078577041626,0.6645447015762329,0.8116434216499329,0.38002312183380127,0.4964011311531067
0,,,,34927.0,68,12.432318687438965,11.67834758758545,11.905853271484375,13.712747573852539,12.151354789733887,0.05919814109802246,10.902200698852539,,9.342844009399414,11.8359375,3.2382984161376953,0.0498126856982708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.525e-05,7.75e-06,7.525e-05,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,99,,,,,,,,7.783933639526367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,137,,,,,,,,,,,,,4.194136142730713,0.8367778658866882,-0.07241988927125931,0.5042382478713989,0.7643570899963379,0.4543198347091675,0.5793061256408691,5.5934739112854,0.881722092628479,-0.052358776330947876,0.672473132610321,0.8293628096580505,0.45766961574554443,0.5808223485946655,5.634495258331299,0.8814840316772461,-0.06469351798295975,0.6774048805236816,0.8167903423309326,0.41592130064964294,0.5407474040985107,5.6191020011901855,0.8823422193527222,-0.05569218471646309,0.6755542755126953,0.82664954662323,0.43683066964149475,0.5527917146682739,5.5614728927612305,0.8816481828689575,-0.04280249774456024,0.6686257123947144,0.838844895362854,0.4947125315666199,0.6210179328918457,5.54573392868042,0.8817117214202881,-0.041461437940597534,0.6667335629463196,0.84024977684021,0.4934660792350769,0.6138126850128174,5.611482620239258,0.8813713192939758,-0.05866945907473564,0.6746382117271423,0.8227014541625977,0.4429623484611511,0.5720561742782593,6.140721321105957,0.9069448709487915,-0.06605459004640579,0.7382656931877136,0.8408899307250977,0.4112398326396942,0.5253525972366333,6.1555023193359375,0.9067735075950623,-0.07819454371929169,0.7400426864624023,0.8285786509513855,0.3658866286277771,0.4802403450012207,6.161328315734863,0.9075578451156616,-0.07021035254001617,0.7407431602478027,0.8373472094535828,0.3872465491294861,0.4918404519557953,6.125387191772461,0.90691077709198,-0.05621270835399628,0.7364221811294556,0.8506975173950195,0.4514791965484619,0.5711299180984497,6.119579792022705,0.9067860841751099,-0.055674582719802856,0.7357239723205566,0.8511112928390503,0.45024314522743225,0.5622138977050781,6.143181800842285,0.9066568613052368,-0.07139024138450623,0.7385614514350891,0.83526611328125,0.39662665128707886,0.5173738598823547,6.721353054046631,0.9420017004013062,-0.042863111943006516,0.8080719113349915,0.8991381525993347,0.4087803065776825,0.5894391536712646,6.723910808563232,0.9415804147720337,-0.05149056389927864,0.8083794116973877,0.8900896310806274,0.36120516061782837,0.5485825538635254,6.7307515144348145,0.9420082569122314,-0.04617387056350708,0.8092018365859985,0.8958338499069214,0.38619792461395264,0.5552768707275391,6.716391563415527,0.9421913623809814,-0.03578875586390495,0.8074753284454346,0.9064021110534668,0.44935789704322815,0.6342113018035889,6.716339111328125,0.9424843788146973,-0.03513596951961517,0.8074690699577332,0.9073479175567627,0.4509323835372925,0.6206121444702148,6.719361305236816,0.9416782855987549,-0.0467376783490181,0.8078323602676392,0.8949403762817383,0.39099201560020447,0.5852892398834229,9.765625463842298e-07,0.908254861831665,0.8695549368858337,0.922732412815094,0.9611484408378601,0.08352911472320557,0.011255203746259212,0.7888630032539368,0.025315921753644943,0.12760785222053528,0.018563920632004738,0.595709502696991,10.843618392944336,9.988171577453613,10.918075561523438,11.624606132507324,6.352669715881348,0.06521303951740265,7.4435529708862305,4.289731025695801,0.8364766836166382,-0.089472696185112,0.5157310962677002,0.747003436088562,0.4119717478752136,0.5391252040863037,4.235478401184082,0.8376123905181885,-0.07759509980678558,0.509208619594574,0.7600159645080566,0.4330067038536072,0.550991415977478,4.123693466186523,0.8366348147392273,-0.05889841914176941,0.49576932191848755,0.7777354121208191,0.4919286370277405,0.6197341680526733,0.027592206373810768,0.004672545474022627,0.42663589119911194,0.06683182716369629,0.5457718968391418,0.06595095247030258,0.7122921943664551,4.089176177978516,0.836788535118103,-0.057439953088760376,0.4916195273399353,0.7793477177619934,0.4901347756385803,0.6121007800102234,4.244870185852051,0.8363061547279358,-0.08076004683971405,0.5103377103805542,0.7555453777313232,0.4401082992553711,0.570925772190094
1,,,,34927.0,137,10.73593807220459,9.289949417114258,10.600308418273926,12.317554473876953,7.978204250335693,0.065041184425354,6.898105621337891,,9.343320846557617,11.837890625,3.2660529613494873,0.049420665949583054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5750000000000013e-05,3.250000000000001e-06,2.5750000000000013e-05,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,149,,,,,,,,7.748960494995117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
